alphabet,binary_seq_32
A,10001000000101000100100000100000
B,10001000000101000010000101000010
C,00100100010000010000000000000000
D,10001000000101000100001000000000
E,00100100000100100100000100000000
F,10000001001010000001000000000000
G,00100100010000011000000000000000
H,01000100100000011000010001000000
I,00010001001001000100001000010001
J,00010001001001000100001010000000
K,01000100100000010100100000101000
L,01000100000100000000000000000000
M,10001000000101001000000101000100
N,10001000000101000100000110001000
O,00100100010000011000100000000000
P,10001000000101000010000000000000
Q,10001000001001000100000101000001
R,10001000000101000010000101000000
S,00100100010000010100010000100000
T,00010001001001000000000000000000
U,01000100000110001000000000000000
V,01000001010010000001100000000000
W,01000100000110000100000110001000
X,00010001001001000100000100100010
Y,01000001000110000100001001000000
Z,00010100010000100100010000010000
a,00100100000110000100000100000000
b,01000100000110000010000000000000
c,00100100000100000000000000000000
d,00100100000110001000000000000000
e,00011000001001000100000100000000
f,10000010000100010010100000010000
g,00100100000110000100010000100000
h,01000100100000010100000000000000
i,10001000000000000000000000000000
j,01000100001010000000000000000000
k,10001000100001000001010000100100
l,00011000100001000100000100000000
m,10000001010010000001010000000000
n,10000001010000000000000000000000
o,00100100000110000000000000000000
p,10001000100001000001010000100000
q,00100100000110000100010000000000
r,01001000000100000000000000000000
s,00100100000101000010000000000000
t,01000100000100101000001000010001
u,01000001100000000000000000000000
v,01000001000110000000000000000000
w,01000001100001000001100000000000
x,00010001001001000001001000100000
y,01000001100001000100000000000000
z,00010100001001000001000000000000
